,Bigram Frequency,Bigram Average Frequency,Bigram Frequency with Position,Bigram Average Frequency with Position,Bigram Independent Probabilities,Mean Edit Distance,Transition Probability,Average Transition Probability,Transition Log Probability
57,3371.0,481.57142857142856,999,142.71428571428572,6.566879659501084e-17,6.6975,3.7710076515326237e-10,0.08973042249399461,31.304330871102355
58,6323.0,574.8181818181819,970,88.18181818181819,4.0276473266608407e-25,9.5425,5.1369181072218823e-14,0.09500497698781227,44.14609025400755
59,1374.0,229.0,344,57.333333333333336,5.0994753953369665e-17,6.4983,1.2756453891377365e-10,0.05797172794626114,32.86805361227388
60,1087.0,543.5,393,196.5,2.5057049500910716e-05,5.7283,1.995153295969993e-05,0.06683347879823413,15.613140875438223
61,3459.0,576.5,784,130.66666666666666,2.00860706663697e-14,6.3945,9.85802164805481e-10,0.07485550092171281,29.917982799726214
62,1583.0,263.8333333333333,405,67.5,3.036026349290415e-17,6.8104,2.6936845311736715e-12,0.03579260779156547,38.43355623809352
63,4059.0,579.8571428571429,709,101.28571428571429,1.0918619175039004e-17,6.9883,1.2353958893747e-10,0.07926647992793595,32.914307513448975
64,1421.0,355.25,258,64.5,7.399834712625339e-11,5.7653,4.2568844249186464e-09,0.04025767070922907,27.807554932732085
65,3197.0,532.8333333333334,965,160.83333333333334,3.766174402848649e-14,6.0888,1.6587660962480987e-08,0.10653029846257872,25.84531429388647
66,3545.0,506.42857142857144,805,115.0,7.315921209201123e-17,6.5608,3.9076628740799884e-10,0.09008603122051534,31.25297494187251
67,3465.0,495.0,903,129.0,6.537011962898136e-19,6.7556,1.230077752538352e-12,0.04749623380241963,39.564387628241384
68,839.0,139.83333333333334,262,43.666666666666664,3.2221015317950564e-19,6.6345,2.3688135862693724e-13,0.02641291663634921,41.9409005633436
69,1488.0,297.6,323,64.6,2.1104874470790345e-13,6.069,1.1930029185217999e-10,0.03822762860363239,32.964683376476046
70,3107.0,776.75,305,76.25,3.1153002146782685e-09,5.4839,6.512917263849501e-08,0.06343017752302764,23.87212085943101
71,713.0,178.25,192,48.0,9.178453322698012e-12,5.7721,9.465450274800833e-09,0.04599283846606516,26.65468171691403
